date,rm,rf,SMB,HML,WML
197304,-4.4,0.96,4.18,-0.01,3.23
197305,-8.76,0.97,0.83,1.17,0.36
197306,0.02,1.04,-0.59,-1.3,-0.13
197307,-6.58,1.11,-1.68,0.33,0.6
197308,1.2,1.01,-1.45,-3.55,-0.08
197309,-2.48,1.11,1.04,0.99,0.99
197310,7.41,1.1,-4.17,1.52,-6.13
197311,-11.04,1.01,3.29,-1.92,2.61
197312,-0.66,1.11,0.24,1.24,-0.68
197401,4.23,0.97,-1.36,2.46,-2.63
197402,-5.82,0.84,2.79,-0.14,3.37
197403,-0.63,0.93,-0.75,2.08,3
197404,3.95,0.77,-3.56,3.63,0.51
197405,-3.06,0.68,2.79,2.4,3.73
197406,-2.58,0.75,0.03,1.45,1.55
197407,0.01,0.77,-2.39,2.09,3.22
197408,0.5,0.78,-2.33,2.93,1.47
197409,-4.85,0.78,0.62,-0.28,1.83
197410,1.67,0.77,-3.71,1.67,0.69
197411,5.37,0.68,-0.74,-4.64,-7.16
197412,1.25,0.72,1.61,1.34,-3.99
197501,8.07,0.63,-4.73,6.4,4.99
197502,10.4,0.47,2.7,1.43,-14.11
197503,0.85,0.45,0.23,3.04,2.9
197504,2.87,0.39,-0.62,0.82,1.32
197505,-6.37,0.41,1.87,-0.94,0.32
197506,1.46,0.4,-0.58,4.13,4.87
197507,8.45,0.38,-4.99,1.52,7.11
197508,-4.13,0.27,2.79,-1.02,-1.5
197509,-1.15,0.32,-0.61,-1.01,2.08
197510,6.81,0.31,-4.13,3.34,1.91
197511,4.8,0.3,-3.15,1.94,0.36
197512,0.62,0.36,0.06,2.9,-1.41
197601,0.52,0.31,-1.19,4.63,0.6
197602,0.16,0.29,0.51,3.08,0.41
197603,2.98,0.3,-1.57,3.64,2.13
197604,-5.4,0.29,3.71,-1.37,-0.99
197605,-0.65,0.3,-2.44,-0.66,0.41
197606,1.17,0.34,-1.43,0.57,1.67
197607,-1.25,0.36,0.28,0.79,-0.89
197608,-0.73,0.37,0.01,-0.19,0.24
197609,0.91,0.37,-0.04,1.91,0.14
197610,-6.91,0.36,3.65,-1.98,1.46
197611,4.44,0.34,-3.93,2.75,2.37
197612,0.7,0.42,1.06,-1.34,-0.19
197701,0.86,0.39,-1.18,2.68,3.07
197702,-2.1,0.36,0.49,0.09,0.92
197703,2.83,0.39,-1.25,2.71,1.56
197704,6.56,0.38,-2.83,2.22,-3.74
197705,-1.09,0.36,2.63,1.26,1.18
197706,-1.17,0.35,3.45,-0.16,1.48
197707,1.92,0.35,0.46,-1.6,0.54
197708,2.45,0.34,1.03,1.22,2.57
197709,0.88,0.34,0.16,-0.08,0.17
197710,2.23,0.34,0.94,-0.65,0.06
197711,0.8,0.33,-0.02,-0.12,2.32
197712,-0.83,0.34,-0.35,-0.73,0.25
197801,1.18,0.29,3.24,3.73,1.01
197802,0.86,0.28,0.95,1.99,2.11
197803,-0.02,0.29,1.89,2.11,-0.07
197804,-2.61,0.3,1.51,-2.42,-2.19
197805,2.3,0.3,-1.38,-0.99,1.95
197806,3.03,0.3,0.45,-1.55,0.87
197807,3.59,0.3,1.44,-1.34,1.11
197808,1.89,0.29,2.67,0.98,-0.65
197809,2.23,0.3,-0.09,-0.16,-0.05
197810,-2.12,0.29,0.22,-0.43,-0.32
197811,-0.95,0.27,1.81,-0.84,1.46
197812,0.16,0.34,-0.17,-0.28,-0.68
197901,2.07,0.31,2.47,0.55,4.63
197902,-3.07,0.32,0.51,0.54,-1.17
197903,-1.77,0.36,-0.31,0.99,-0.02
197904,0.05,0.45,-0.33,-0.33,2.53
197905,-4.33,0.47,1.09,-1.89,-3
197906,-1.12,0.48,-0.05,1.12,0.96
