date,rm,rf,SMB,HML,WML
200908,3.5,0.04,1.19,14.4,-8.14
200909,4.48,0.03,0.84,4.25,-1.36
200910,-4.79,0.03,4.85,-4.9,2.66
200911,3.79,0.03,0.1,2.85,4.82
200912,5.64,0.04,-2.22,0.82,-1.3
201001,-5.08,0.03,5.54,2.1,1.31
201002,-0.41,0.03,4.85,-3.65,1.39
201003,9.81,0.03,-3.68,5.07,1.48
201004,0.1,0.03,-1.01,2.27,2.39
201005,-3.21,0.03,3.73,-5.8,-1.52
201006,-0.03,0.03,3.67,-3.81,0.34
201007,3.2,0.05,0.72,2.06,2.3
201008,-3.36,0.05,3.13,1.83,0.71
201009,5.41,0.05,-4.34,-0.44,1.84
201010,6.03,0.06,-2.35,3.17,1.84
201011,1.38,0.07,-3.5,7.33,2.03
201012,4.26,0.07,-1.58,1.24,1.63
201101,2.05,0.06,2.57,4.09,0.45
201102,2.45,0.07,2.29,-0.39,0.58
201103,-2.53,0.07,-0.58,-0.71,0.26
201104,6.08,0.09,-1.59,1.40,3.70
201105,-2.43,0.10,2.35,0.20,-0.02
201106,1.03,0.10,-4.61,5.42,1.51
201107,-3.27,0.12,0.39,0.83,2.55
201108,-17.95,0.11,8.26,-0.23,-1.36
201109,-5.77,0.11,3.00,1.57,1.50
201110,11.16,0.11,-9.21,-0.44,0.97
201111,-0.90,0.10,-2.44,1.71,3.25
201112,-2.97,0.09,2.88,0.45,1.49
201201,9.47,0.07,-4.68,-0.73,-7.15
201202,6.00,0.05,0.94,-1.53,-2.87
201203,1.31,0.04,0.57,0.61,4.72
201204,-1.91,0.03,0.90,0.02,5.88
201205,-7.12,0.03,4.46,-1.09,3.16
201206,2.00,0.03,-3.81,3.34,1.30
201207,5.32,0.02,-3.94,0.91,1.41
201208,2.62,0.01,-1.59,-1.21,2.02
201209,3.33,0.01,-1.86,-0.32,0.23
201210,1.09,0.01,-3.39,6.62,3.75
201211,2.13,0.01,-1.86,-4.03,4.90
201212,2.62,0.01,-0.36,0.16,-2.04
201301,2.58,0.01,3.26,0.72,-0.38
201302,0.24,0.01,1.89,0.54,-1.64
201303,0.52,0.01,-0.27,-3.03,6.27
201304,1.41,0.01,-0.11,1.28,3.07
201305,5.33,0.01,-3.62,3.72,-0.56
201306,-4.38,0.01,1.41,-1.18,1.41
201307,4.16,0.01,-2.75,1.23,0.61
201308,-1.54,0.01,1.16,-1.31,-0.02
201309,5.74,0.01,2.24,1.36,0.23
201310,5.18,0.01,-2.57,-2.33,4.39
201311,3.84,0.01,0.85,1.88,2.26
201312,1.37,0.02,-0.21,-1.95,-2.66
